YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ORIGIN_MIN_TEMPERATURE,ORIGIN_MAX_TEMPERATURE,ORIGIN_SNOW_CM,ORIGIN_AVG_WIND,ORIGIN_AVG_VISIBILITY,DESTINATION_MIN_TEMPERATURE,DESTINATION_MAX_TEMPERATURE,DESTINATION_SNOW_CM,DESTINATION_AVG_WIND,DESTINATION_AVG_VISIBILITY
2015,5,3,7,WN,2408,N923WN,DTW,BNA,afternoon,1749,on_time,7,1756,95,74,63,short,1759,4,1825,1803,-22,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,8,28,5,AA,1439,N3EMAA,BNA,DFW,afternoon,1739,on_time,11,1750,120,108,90,short,1920,7,1940,1927,-13,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,hot,no_snow,low_wind,high_visibility
2015,8,27,4,UA,334,N823UA,IAH,BNA,afternoon,1531,on_time,12,1543,118,111,95,short,1718,4,1733,1722,-11,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,1,4,7,WN,947,N444WN,BNA,LAS,morning,1146,on_time,9,1155,255,256,230,long,1345,17,1405,1402,-3,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,medium_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,9,16,3,AA,1191,N202AA,BNA,DFW,afternoon,1424,on_time,13,1437,128,105,88,short,1605,4,1630,1609,-21,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,5,20,3,WN,1539,N958WN,STL,BNA,afternoon,1228,on_time,9,1237,60,57,42,short,1319,6,1325,1325,0,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,7,3,5,WN,103,N8617E,BNA,LAS,afternoon,1947,delayed,7,1954,235,219,208,long,2122,4,1910,2126,136,0,0,,0,0,130,6,0,not_freezing,not_hot,no_snow,low_wind,medium_visibility,not_freezing,hot,no_snow,low_wind,high_visibility
2015,5,1,5,WN,3139,N927WN,MCO,BNA,evening,1944,on_time,12,1956,115,106,89,short,2025,5,2045,2030,-15,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,6,30,2,AA,1396,N473AA,DFW,BNA,evening,1826,on_time,12,1838,119,107,89,short,2007,6,2029,2013,-16,0,0,,,,,,,not_freezing,hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,6,2,2,WN,1815,N957WN,STL,BNA,evening,1809,on_time,11,1820,65,62,46,short,1906,5,1910,1911,1,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,2,12,4,DL,866,N371NB,BNA,ATL,afternoon,1618,delayed,18,1636,72,63,40,short,1816,5,1812,1821,9,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,4,3,5,DL,95,N993DL,BNA,ATL,morning,910,on_time,41,951,69,84,36,short,1127,7,1119,1134,15,0,0,,15,0,0,0,0,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,11,11,3,AA,2101,N721UW,BNA,CLT,morning,621,on_time,15,636,82,79,56,short,832,8,847,840,-7,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,3,4,3,MQ,3382,N0EGMQ,LGA,BNA,afternoon,1708,delayed,22,1730,159,152,126,short,1836,4,1749,1840,51,0,0,,0,0,51,0,0,not_freezing,not_hot,no_snow,low_wind,medium_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,7,26,7,DL,1287,N354NB,DTW,BNA,afternoon,1519,on_time,14,1533,92,88,69,short,1542,5,1552,1547,-5,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,hot,no_snow,low_wind,high_visibility
2015,11,21,6,AA,1361,N3GEAA,BNA,LAX,morning,600,on_time,12,612,292,284,266,long,838,6,852,844,-8,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,5,10,7,OO,4513,N822SK,MSP,BNA,afternoon,1731,on_time,23,1754,127,126,98,short,1932,5,1942,1937,-5,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,7,17,5,WN,1738,N739GB,RDU,BNA,morning,541,on_time,8,549,90,78,64,short,553,6,615,559,-16,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,medium_visibility,not_freezing,hot,no_snow,low_wind,high_visibility
2015,7,26,7,DL,1727,N989AT,BNA,DTW,afternoon,1310,on_time,15,1325,92,95,70,short,1535,10,1547,1545,-2,0,0,,,,,,,not_freezing,hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,4,28,2,WN,507,N238WN,PIT,BNA,morning,652,on_time,7,659,95,84,71,short,710,6,735,716,-19,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,1,21,3,MQ,3091,N679MQ,BNA,JFK,afternoon,1302,delayed,17,1319,144,146,109,short,1608,20,1549,1628,39,0,0,,2,0,1,36,0,not_freezing,not_hot,no_snow,low_wind,medium_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,2,7,6,AA,1604,N513AA,DFW,BNA,evening,1829,on_time,15,1844,99,109,86,short,2010,8,2009,2018,9,0,0,,,,,,,not_freezing,not_hot,no_snow,high_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
