YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ORIGIN_MIN_TEMPERATURE,ORIGIN_MAX_TEMPERATURE,ORIGIN_SNOW_CM,ORIGIN_AVG_WIND,ORIGIN_AVG_VISIBILITY,DESTINATION_MIN_TEMPERATURE,DESTINATION_MAX_TEMPERATURE,DESTINATION_SNOW_CM,DESTINATION_AVG_WIND,DESTINATION_AVG_VISIBILITY
2015,12,10,4,WN,2263,N617SW,SAT,BNA,evening,1951,delayed,6,1957,125,126,115,medium,2152,5,2130,2157,27,0,0,,1,0,0,26,0,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,medium_visibility
2015,2,7,6,WN,3017,N473WN,FLL,BNA,morning,1048,on_time,11,1059,145,133,117,short,1156,5,1220,1201,-19,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,1,5,1,WN,496,N941WN,JAX,BNA,evening,2007,delayed,9,2016,95,92,77,short,2033,6,2015,2039,24,0,0,,0,0,24,0,0,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,12,4,5,DL,1066,N940DL,ATL,BNA,morning,955,on_time,15,1010,64,58,39,short,949,4,1000,953,-7,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,1,5,1,WN,4279,N415WN,BNA,RDU,evening,2134,delayed,10,2144,80,68,55,short,2339,3,2250,2342,52,0,0,,0,0,0,52,0,freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,11,22,7,WN,1153,N231WN,BNA,SAT,evening,2056,on_time,7,2103,150,130,119,medium,2302,4,2330,2306,-24,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,6,1,1,EV,4502,N13992,BNA,EWR,evening,2054,delayed,12,2106,139,145,111,short,2357,22,2224,19,115,0,0,,6,0,0,109,0,not_freezing,not_hot,no_snow,low_wind,medium_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,9,3,4,WN,539,N954WN,LAS,BNA,afternoon,1744,on_time,9,1753,215,195,181,long,2254,5,2305,2259,-6,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,hot,no_snow,low_wind,high_visibility
2015,2,24,2,WN,4425,N218WN,DEN,BNA,afternoon,1746,delayed,15,1801,145,137,117,medium,2058,5,2050,2103,13,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,11,18,3,AA,2348,N566AA,BNA,DFW,morning,652,on_time,11,703,138,118,102,short,845,5,916,850,-26,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,4,10,5,WN,282,N922WN,PHX,BNA,evening,1930,delayed,7,1937,195,175,162,medium,19,6,25,25,0,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,1,9,5,EV,4210,N21130,IAH,BNA,evening,1857,on_time,10,1907,111,105,86,short,2033,9,2051,2042,-9,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,3,30,1,WN,3309,N8641B,BWI,BNA,afternoon,1356,delayed,11,1407,115,108,90,short,1437,7,1435,1444,9,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,3,7,6,WN,365,N8656B,LAS,BNA,morning,913,on_time,10,923,215,193,177,long,1420,6,1455,1426,-29,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,12,30,3,WN,3114,N967WN,BNA,SAN,afternoon,1226,delayed,11,1237,275,271,256,long,1453,4,1435,1457,22,0,0,,0,0,7,15,0,not_freezing,not_hot,no_snow,low_wind,medium_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,1,19,1,WN,48,N663SW,BNA,HOU,afternoon,1507,on_time,9,1516,135,132,110,short,1706,13,1730,1719,-11,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,5,3,7,WN,1549,N478WN,BNA,FLL,evening,2036,delayed,7,2043,130,120,109,short,2332,4,2210,2336,86,0,0,,0,0,4,82,0,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,high_wind,high_visibility
2015,6,4,4,DL,1268,N836DN,BNA,DTW,morning,625,on_time,16,641,96,90,68,short,849,6,904,855,-9,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,3,23,1,WN,988,N615SW,BNA,BOS,afternoon,1519,delayed,17,1536,140,145,122,medium,1838,6,1820,1844,24,0,0,,5,0,5,14,0,not_freezing,not_hot,no_snow,low_wind,medium_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,3,17,2,WN,588,N463WN,BNA,PHL,evening,2109,on_time,11,2120,110,112,93,short,2353,8,5,1,-4,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,11,6,5,UA,1541,N821UA,IAH,BNA,evening,1936,delayed,39,2015,116,123,78,short,2133,6,2112,2139,27,0,0,,7,0,12,8,0,freezing,not_hot,no_snow,low_wind,medium_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,3,24,2,WN,233,N953WN,EWR,BNA,afternoon,1551,on_time,12,1603,145,128,111,short,1654,5,1720,1659,-21,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,6,8,1,DL,94,N341NW,ATL,BNA,afternoon,1909,delayed,15,1924,70,77,53,short,1917,9,1745,1926,101,0,0,,7,0,0,94,0,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,8,1,6,EV,4738,N16918,BNA,ORD,afternoon,1623,on_time,13,1636,110,94,72,short,1748,9,1820,1757,-23,0,0,,,,,,,not_freezing,hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,1,2,5,WN,1080,N7707C,PNS,BNA,evening,1924,delayed,7,1931,80,81,61,short,2032,13,2015,2045,30,0,0,,1,0,4,25,0,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,2,1,7,WN,4811,N392SW,BNA,RDU,morning,823,on_time,6,829,85,71,61,short,1030,4,1050,1034,-16,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,hot,no_snow,low_wind,high_visibility
2015,11,11,3,EV,4090,N14174,BNA,IAH,afternoon,1505,delayed,14,1519,138,132,109,short,1708,9,1659,1717,18,0,0,,0,0,0,18,0,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,2,5,4,EV,6073,N12175,DEN,BNA,morning,1001,on_time,35,1036,156,162,121,medium,1337,6,1341,1343,2,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,11,6,5,AA,2501,N3BYAA,DFW,BNA,evening,2058,delayed,14,2112,108,93,75,short,2227,4,2208,2231,23,0,0,,0,0,23,0,0,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,1,7,3,DL,1066,N963DL,ATL,BNA,morning,950,on_time,15,1005,70,57,39,short,944,3,1002,947,-15,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
